symptoms,disease
red eyes fever koplik spots,measles
stomach cramps vomiting diarrhea nausea,gastroenteritis
blurred vision fainting low blood pressure dizziness fatigue,hypotension
cloudy urine strong urine smell frequent urination lower abdominal pain,UTI
low body temperature slow breathing slurred speech confusion shivering,hypothermia
sore throat mild cough runny nose watery eyes,cold
nausea vomiting abdominal pain diarrhea,food_poisoning
frequent urination strong urine smell cloudy urine,UTI
phlegm fever cough chest pain,pneumonia
cough fatigue chest discomfort mild fever,bronchitis
belching fullness upper abdominal pain bloating nausea,indigestion
fever cough chest pain phlegm,pneumonia
cloudy urine lower abdominal pain strong urine smell,UTI
chills sweating nausea headache high fever,malaria
headache nausea high fever chills,malaria
phlegm cough shortness of breath,pneumonia
itch hives sneezing,allergy
blurred vision increased thirst slow healing,diabetes_high_sugar
vomiting chills nausea diarrhea,food_poisoning
red eyes runny nose skin rash itchy eyes sneezing,allergy
fever shortness of breath loss of smell loss of taste,covid19
swollen lymph nodes painful swallowing fever sore throat,strep_throat
chest pain cough fever,pneumonia
nausea high fever headache sweating,malaria
red eyes gritty feeling eye discharge itchy eyes,conjunctivitis
eye discharge tearing red eyes itchy eyes,conjunctivitis
sneezing mild cough sore throat,cold
shortness of breath chest tightness night cough,asthma_attack
fever cough phlegm shortness of breath,pneumonia
shortness of breath loss of taste dry cough,covid19
runny nose red eyes itching,allergy
hives itching sneeze,allergy
chills headache nausea,malaria
sensitivity to light aura sensitivity to sound,migraine
trouble sleeping muscle tension headache,stress
swollen lymph nodes white patches throat fever,strep_throat
chest tightness wheezing night cough,asthma_attack
pain urination vomiting nausea,kidney_stones
fatigue dizziness dry mouth thirst,dehydration
burning chest sour taste acid reflux worse after meals,heartburn
nausea sensitivity to light aura severe headache sensitivity to sound,migraine
sneezing itching runny nose,allergy
low body temperature confusion slow breathing shivering slurred speech,hypothermia
nausea stomach pain diarrhea vomiting fever,food_poisoning
high fever chills nausea,malaria
watery eyes stuffy nose sneeze sore throat mild cough,cold
lower abdominal pain burning urination frequent urination,UTI
acid reflux sour taste worse after meals,heartburn
severe headache sensitivity to light nausea,migraine
fatigue scab lesions blisters itchy rash,chickenpox
shortness of breath night cough wheezing chest tightness,asthma_attack
eye discharge red eyes gritty feeling,conjunctivitis
vision problems chest pain high blood pressure,hypertension
headache post nasal drip facial pain runny nose,sinusitis
red eyes gritty feeling eye discharge tearing,conjunctivitis
runny nose red eyes fever,measles
dark urine fatigue thirst,dehydration
post nasal drip facial pain runny nose nasal congestion,sinusitis
lower abdominal pain frequent urination strong urine smell burning urination cloudy urine,UTI
belching bloating upper abdominal pain fullness,indigestion
nausea confusion hot dry skin,heatstroke
chest tightness wheezing night cough cough shortness of breath,asthma_attack
photophobia nausea severe headache sensitivity to sound aura,migraine
fatigue high fever sore throat,flu
runny nose itch skin rash red eyes,allergy
red eyes fever koplik spots cough,measles
wheezing shortness of breath chest tightness,asthma_attack
slow healing increased thirst fatigue,diabetes_high_sugar
scab lesions itchy rash fever,chickenpox
dark urine thirst dry mouth dizziness fatigue,dehydration
gritty feeling itchy eyes eye discharge tearing,conjunctivitis
nausea hot dry skin rapid heartbeat,heatstroke
sweating palpitations trouble sleeping restlessness,anxiety
strong urine smell lower abdominal pain cloudy urine,UTI
fullness nausea bloating upper abdominal pain belching,indigestion
fatigue sore throat high fever,flu
thirst fatigue dizziness dark urine dry mouth,dehydration
fatigue trouble sleeping headache irritability,stress
ear drainage fever irritability hearing loss,ear_infection
severe headache muscle pain high fever,dengue
dark urine thirst dry mouth,dehydration
fatigue shortness of breath dizziness,anemia
diarrhea low fever nausea stomach cramps vomiting,gastroenteritis
belching bloating fullness,indigestion
shortness of breath fever cough phlegm,pneumonia
fever shortness of breath cough chest pain,pneumonia
cough mild fever chest discomfort,bronchitis
cough fever phlegm shortness of breath,pneumonia
nausea confusion very high fever hot dry skin rapid heartbeat,heatstroke
runny nose nasal congestion post nasal drip,sinusitis
mucus fatigue chest discomfort mild fever cough,bronchitis
vomiting diarrhea stomach cramps low fever,gastroenteritis
fatigue fever itchy rash,chickenpox
runny nose koplik spots cough red eyes fever,measles
swollen lymph nodes sore throat white patches throat fever painful swallowing,strep_throat
pale skin weakness dizziness,anemia
fever ear pain ear drainage irritability,ear_infection
slow breathing low body temperature shivering confusion slurred speech,hypothermia
ear pain hearing loss ear drainage,ear_infection
shortness of breath anosmia fever dry cough loss of taste,covid19
